"agency_cd","site_no","Date","X_00010_00003","X_00010_00003_cd"
"USGS","04027000",1975-09-26,10.6,"A"
"USGS","04027000",1975-09-27,10,"A"
"USGS","04027000",1975-09-28,10.6,"A"
"USGS","04027000",1975-09-29,10.8,"A"
"USGS","04027000",1975-09-30,10.4,"A"
"USGS","04027000",1976-10-01,13.6,"A"
"USGS","04027000",1976-10-02,14.3,"A"
"USGS","04027000",1976-10-03,14,"A"
"USGS","04027000",1976-10-04,14,"A"
"USGS","04027000",1976-10-05,12.8,"A"
"USGS","04027000",1976-10-06,7.9,"A"
"USGS","04027000",1976-10-07,6.4,"A"
"USGS","04027000",1976-10-08,5.7,"A"
"USGS","04027000",1976-10-09,5.8,"A"
"USGS","04027000",1976-10-10,6.5,"A"
"USGS","04027000",1976-10-11,7.1,"A"
"USGS","04027000",1976-10-12,9.3,"A"
"USGS","04027000",1976-10-13,9.9,"A"
"USGS","04027000",1976-10-14,8.6,"A"
"USGS","04027000",1976-10-15,7.8,"A"
"USGS","04027000",1976-10-16,5.8,"A"
"USGS","04027000",1976-10-17,4.2,"A"
"USGS","04027000",1976-10-18,2.9,"A"
"USGS","04027000",1976-10-19,2.6,"A"
"USGS","04027000",1976-10-20,2.7,"A"
"USGS","04027000",1976-10-21,2.3,"A"
"USGS","04027000",1976-10-22,1.9,"A"
"USGS","04027000",1976-10-23,1.3,"A"
"USGS","04027000",1976-10-24,1.2,"A"
"USGS","04027000",1976-10-25,1.2,"A"
"USGS","04027000",1976-10-26,-0.1,"A"
"USGS","04027000",1976-10-27,0,"A"
"USGS","04027000",1976-10-28,0.5,"A"
"USGS","04027000",1976-10-29,2.4,"A"
"USGS","04027000",1976-10-30,2.9,"A"
"USGS","04027000",1976-10-31,2.1,"A"
"USGS","04027000",1976-11-01,1.8,"A"
"USGS","04027000",1976-11-02,2.8,"A"
"USGS","04027000",1976-11-03,2.8,"A"
"USGS","04027000",1976-11-04,1.8,"A"
"USGS","04027000",1976-11-05,1.8,"A"
"USGS","04027000",1976-11-06,1.3,"A"
"USGS","04027000",1976-11-07,0.6,"A"
"USGS","04027000",1976-11-08,0.5,"A"
"USGS","04027000",1976-11-09,0.5,"A"
"USGS","04027000",1976-11-10,0.5,"A"
"USGS","04027000",1976-11-11,0.5,"A"
"USGS","04027000",1976-11-12,0.7,"A"
"USGS","04027000",1976-11-13,0.7,"A"
"USGS","04027000",1976-11-14,0.6,"A"
"USGS","04027000",1976-11-15,0.5,"A"
"USGS","04027000",1976-11-16,0.6,"A"
"USGS","04027000",1976-11-17,0.6,"A"
"USGS","04027000",1976-11-18,0.6,"A"
"USGS","04027000",1976-11-19,0.5,"A"
"USGS","04027000",1976-11-20,0.5,"A"
"USGS","04027000",1976-11-21,0.4,"A"
"USGS","04027000",1976-11-22,0.4,"A"
"USGS","04027000",1976-11-23,0.4,"A"
"USGS","04027000",1976-11-24,0.4,"A"
"USGS","04027000",1976-11-25,0.4,"A"
"USGS","04027000",1976-11-26,0.5,"A"
"USGS","04027000",1976-11-27,0.4,"A"
"USGS","04027000",1976-11-28,0.3,"A"
"USGS","04027000",1976-11-29,0.4,"A"
"USGS","04027000",1976-11-30,0.3,"A"
"USGS","04027000",1976-12-01,0.4,"A"
"USGS","04027000",1976-12-02,0.3,"A"
"USGS","04027000",1976-12-03,0.4,"A"
"USGS","04027000",1976-12-04,0.4,"A"
"USGS","04027000",1976-12-05,0.4,"A"
"USGS","04027000",1976-12-06,0.4,"A"
"USGS","04027000",1976-12-07,4.7,"A"
"USGS","04027000",1976-12-08,0.2,"A"
"USGS","04027000",1976-12-09,0.3,"A"
"USGS","04027000",1976-12-10,0.3,"A"
"USGS","04027000",1976-12-11,0.3,"A"
"USGS","04027000",1976-12-12,0.3,"A"
"USGS","04027000",1976-12-13,4.1,"A"
"USGS","04027000",1976-12-14,0.4,"A"
"USGS","04027000",1976-12-15,0.4,"A"
"USGS","04027000",1976-12-16,0.4,"A"
"USGS","04027000",1976-12-17,0.4,"A"
"USGS","04027000",1976-12-18,0.4,"A"
"USGS","04027000",1976-12-19,0.5,"A"
"USGS","04027000",1976-12-20,0.4,"A"
"USGS","04027000",1976-12-21,0.4,"A"
"USGS","04027000",1976-12-22,0.4,"A"
"USGS","04027000",1976-12-23,0.4,"A"
"USGS","04027000",1976-12-24,0.4,"A"
"USGS","04027000",1976-12-25,0.4,"A"
"USGS","04027000",1976-12-26,0.4,"A"
"USGS","04027000",1976-12-27,0.4,"A"
"USGS","04027000",1976-12-28,2.6,"A"
"USGS","04027000",1976-12-29,7.5,"A"
"USGS","04027000",1977-02-08,-0.1,"A"
"USGS","04027000",1977-02-09,0.1,"A"
"USGS","04027000",1977-02-10,0,"A"
"USGS","04027000",1977-02-11,0,"A"
"USGS","04027000",1977-02-12,0.1,"A"
"USGS","04027000",1977-02-13,0.1,"A"
"USGS","04027000",1977-02-14,0.1,"A"
"USGS","04027000",1977-02-15,0.1,"A"
"USGS","04027000",1977-02-16,0.1,"A"
"USGS","04027000",1977-02-17,0.1,"A"
"USGS","04027000",1977-02-18,0.1,"A"
"USGS","04027000",1977-02-19,0.2,"A"
"USGS","04027000",1977-02-20,0.1,"A"
"USGS","04027000",1977-02-21,0.1,"A"
"USGS","04027000",1977-02-22,0.2,"A"
"USGS","04027000",1977-02-23,0.1,"A"
"USGS","04027000",1977-02-24,0.2,"A"
"USGS","04027000",1977-02-25,0.2,"A"
"USGS","04027000",1977-02-26,0.2,"A"
"USGS","04027000",1977-02-27,0.3,"A"
"USGS","04027000",1977-02-28,0.3,"A"
"USGS","04027000",1977-03-01,0.3,"A"
"USGS","04027000",1977-03-02,0.2,"A"
"USGS","04027000",1977-03-03,0.3,"A"
"USGS","04027000",1977-03-04,0.3,"A"
"USGS","04027000",1977-03-05,0.3,"A"
"USGS","04027000",1977-03-06,0.4,"A"
"USGS","04027000",1977-03-07,0.4,"A"
"USGS","04027000",1977-03-08,0.4,"A"
"USGS","04027000",1977-03-09,0.3,"A"
"USGS","04027000",1977-03-10,0.3,"A"
"USGS","04027000",1977-03-11,0.3,"A"
"USGS","04027000",1977-03-12,0.3,"A"
"USGS","04027000",1977-03-13,0.3,"A"
"USGS","04027000",1977-03-14,0.3,"A"
"USGS","04027000",1977-03-15,0.3,"A"
"USGS","04027000",1977-03-16,0.3,"A"
"USGS","04027000",1977-03-17,0.4,"A"
"USGS","04027000",1977-03-18,0.4,"A"
"USGS","04027000",1977-03-19,0.4,"A"
"USGS","04027000",1977-03-20,0.4,"A"
"USGS","04027000",1977-03-21,0.4,"A"
"USGS","04027000",1977-03-22,0.4,"A"
